id,Productname
"1","BLANK CD"
"2","BLANK DVD"
"3","BRAND DESKTOP PC"
"4","CARTRIDGE"
"5","CMOS BATTERY"
"6","COLOUR PRINTER"
"7","CPU CASING"
"8","DESKTOP SWITCH"
"9","DVD WRITER"
"10","HARDDISK"
"11","HEADPHONE"
"12","INK SET"
"13","KEYBOARD"
"14","MONITOR"
"15","MOTHERBOARD"
"16","MOUSE"
"17","MULTIPLUG"
"18","Refill POLYBAG"
"19","POWER SUPPLY FOR CPU"
"20","PRINTER DOT LQ-590"
"21","PRINTER LASER"
"22","RAM"
"23","RIBBON"
"24","RJ45 CONNECTOR"
"25","ROUTER"
"26","SCANNER"
"27","UPS"
"28","UPS BATTERY"
"29","USB EXTENSION CABLE"
"30","USB PRINTER CABLE"
"31","WEBCAM"
"32","Pendrive"
